episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
1,dqn,-2243.0001125,0.0,-2239.86439,-2246.1358349999996,956.8900000000002,957.3350000000002
2,dqn,-1656.7526874999999,0.0,-1745.1365999999998,-1568.368775,744.1000000000001,666.7750000000003
3,dqn,-2538.143987500001,0.0,-2500.2125650000007,-2576.0754100000013,1069.5650000000005,1106.4099999999999
4,dqn,-2652.812030000002,0.0,-2626.0805100000025,-2679.543550000001,1130.5100000000007,1156.0500000000006
5,dqn,-2477.828585000001,0.0,-2493.399995,-2462.257175000002,1070.9950000000001,1059.675
6,dqn,-2613.716660000002,0.0,-2613.993765000001,-2613.4395550000027,1128.7650000000008,1122.555000000001
7,dqn,-1096.4909125000004,0.0,-1047.4205450000004,-1145.5612800000001,434.545,461.78
8,dqn,-1801.4918024999997,0.0,-1771.3221999999992,-1831.661405,755.1999999999999,776.9049999999999
9,dqn,-3133.022444999998,0.0,-3123.885209999999,-3142.1596799999966,1352.2099999999984,1361.179999999998
10,dqn,-947.4596149999999,0.0,-928.5994349999999,-966.3197949999999,379.935,401.2950000000001
11,dqn,-2051.0692575000003,0.0,-2028.6006199999997,-2073.537895000001,866.1199999999998,887.3949999999999
12,dqn,-3098.185632499997,0.0,-3087.1200199999967,-3109.251244999998,1336.0199999999995,1346.245
13,dqn,-1058.2461250000001,0.0,-1063.2336300000009,-1053.2586199999996,441.62999999999977,439.12000000000023
14,dqn,-1379.8967075,0.0,-1334.6859200000001,-1425.1074950000002,559.9200000000003,595.495
15,dqn,-2994.192179999999,0.0,-3014.853019999998,-2973.53134,1304.0200000000007,1284.8399999999997
16,dqn,-2068.0414174999996,0.0,-2091.7173149999994,-2044.3655199999994,890.8149999999997,875.0200000000001
17,dqn,-574.4159675000001,0.0,-608.7794900000002,-540.0524449999998,243.99000000000007,219.94500000000002
18,dqn,-1783.02871,0.0,-1829.8854949999998,-1736.1719250000006,766.9949999999995,731.425
19,dqn,-2352.353645000001,0.0,-2311.269270000001,-2393.438020000001,988.7699999999999,1029.5199999999995
20,dqn,-2962.118885,0.0,-2974.429135,-2949.8086349999994,1283.6349999999995,1274.135
21,dqn,-404.8390475,0.0,-391.5605950000001,-418.11749999999984,157.09500000000006,167.49999999999997
22,dqn,-1108.0752625,0.0,-1228.2545000000002,-987.8960249999999,504.5000000000001,413.02499999999986
23,dqn,-2499.0944974999993,0.0,-2502.802264999999,-2495.3867299999993,1076.2649999999999,1065.2300000000005
24,dqn,-888.2696149999999,0.0,-922.9749149999997,-853.5643150000002,371.915,353.81499999999977
25,dqn,-2229.1681975,0.0,-2240.574805,-2217.76159,954.8050000000002,943.5899999999999
26,dqn,-1221.885,0.0,-1264.5853000000002,-1179.1846999999998,529.7999999999998,483.2000000000002
27,dqn,-1116.4285500000003,0.0,-1098.63142,-1134.2256800000007,455.4199999999999,476.1800000000001
28,dqn,-1787.2146949999997,0.0,-1794.1684949999994,-1780.2608950000001,740.4949999999994,746.895
29,dqn,-2559.2673775000003,0.0,-2541.6967300000006,-2576.8380250000005,1093.7300000000014,1110.025
30,dqn,-2450.9867650000006,0.0,-2435.7423150000004,-2466.231215000001,1045.3150000000003,1061.7150000000008
31,dqn,-2256.1599225,0.0,-2268.6113450000003,-2243.7084999999993,969.8450000000004,958.0000000000009
