episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
1,ppo,-747.8447975000004,0.2,-816.4784000000002,-679.2111950000007,334.4,279.6949999999999
2,ppo,-743.0804000000003,0.2,-795.4300900000004,-690.73071,322.09000000000015,282.21000000000004
3,ppo,-2423.6942375000003,0.2,-2393.294955000001,-2454.0935199999994,1030.455,1050.0199999999998
4,ppo,-688.2437324999999,0.2,-683.9709549999998,-692.5165099999999,283.45500000000004,285.01000000000005
5,ppo,-2550.9068775,0.2,-2553.1270950000007,-2548.6866599999994,1094.0950000000003,1096.6599999999996
6,ppo,-2487.498335,0.2,-2457.9335750000005,-2517.0630949999995,1054.5749999999998,1085.0949999999991
7,ppo,-824.7445875000001,0.2,-958.7524399999999,-690.7367350000003,382.94000000000005,275.23499999999996
8,ppo,-826.5605724999999,0.2,-902.3293399999998,-750.7918050000001,361.3400000000001,310.30500000000006
9,ppo,-881.8987250000001,0.2,-1057.85322,-705.9442300000003,416.22000000000025,287.73000000000013
10,ppo,-756.8004350000003,0.2,-875.8363750000004,-637.7644950000001,345.87500000000006,263.495
11,ppo,-2190.111249999999,0.2,-1944.452949999999,-2435.7695499999986,769.9499999999996,1046.05
12,ppo,-842.8328425000002,0.2,-1028.1714700000002,-657.494215,396.97,270.21500000000003
13,ppo,-909.8186300000003,0.2,-1102.8845000000006,-716.7527600000001,435.99999999999983,291.26
14,ppo,-2198.57782,0.2,-1910.745164999999,-2486.410475000001,730.1649999999997,1069.475
15,ppo,-2317.1559224999996,0.2,-2179.6336699999993,-2454.678175,897.1699999999998,1057.675
16,ppo,-1017.0560975000008,0.2,-1275.5895600000013,-758.5226350000002,481.05999999999983,309.13499999999993
17,ppo,-1019.6085275000005,0.2,-1319.0932050000013,-720.1238499999998,491.20499999999976,297.84999999999985
18,ppo,-723.3637224999998,0.2,-787.0546549999993,-659.6727900000001,322.65500000000003,273.2900000000001
19,ppo,-677.7956449999999,0.2,-667.88771,-687.7035799999998,270.21,278.08
20,ppo,-649.87954,0.2,-701.9141049999997,-597.8449750000003,287.6050000000001,245.47500000000005
21,ppo,-713.6410350000002,0.2,-761.7598700000003,-665.5222000000001,310.8700000000002,275.69999999999993
22,ppo,-1101.0369675,0.2,-1477.3464299999998,-724.727505,577.9300000000001,294.005
23,ppo,-1131.5783400000016,0.2,-1582.289590000003,-680.8670900000001,587.5899999999996,283.59
24,ppo,-1093.3528500000016,0.2,-1584.2218950000029,-602.4838050000001,587.3949999999995,243.80500000000004
25,ppo,-957.0112075000009,0.2,-1389.7734550000014,-524.2489600000004,519.4549999999997,214.95999999999998
26,ppo,-1162.551970000002,0.2,-1705.878220000004,-619.2257200000001,632.2199999999995,251.71999999999983
27,ppo,-1105.2298225000013,0.2,-1468.9665600000023,-741.4930850000002,546.5599999999995,303.0850000000001
28,ppo,-1106.233365000001,0.2,-1542.252610000002,-670.2141199999999,572.6099999999994,278.62
29,ppo,-1241.5194350000015,0.2,-1745.190420000003,-737.84845,646.919999999999,297.9500000000001
30,ppo,-1204.5636850000021,0.2,-1688.6333650000038,-720.4940050000004,625.8649999999994,294.0049999999999
31,ppo,-2256.0937325000014,0.2,-1937.4436300000007,-2574.7438350000016,726.63,1107.834999999999
32,ppo,-1219.243375000002,0.2,-1730.780195000004,-707.7065550000002,641.6949999999995,289.055
33,ppo,-2250.055370000001,0.2,-1944.2369150000009,-2555.873825000001,728.4149999999997,1101.3250000000003
34,ppo,-1223.2134000000021,0.2,-1712.8816150000043,-733.5451849999998,635.1149999999996,301.185
35,ppo,-1137.109057500002,0.2,-1728.999770000004,-545.2183450000001,640.7699999999993,221.34500000000003
36,ppo,-2105.2127775,0.2,-1898.499139999999,-2311.926415000001,709.6399999999996,990.9149999999996
37,ppo,-2218.1362075000006,0.2,-1912.24422,-2524.028195000001,720.7200000000001,1088.6950000000002
38,ppo,-2210.8485650000002,0.2,-1922.2120900000004,-2499.48504,723.0899999999996,1074.0400000000004
39,ppo,-1214.092922500002,0.2,-1716.6920750000038,-711.4937700000002,636.5749999999995,285.7699999999999
40,ppo,-1199.2469775000018,0.2,-1718.1602550000034,-680.3336999999999,636.7549999999995,279.20000000000005
41,ppo,-1168.116715000002,0.2,-1722.7165000000036,-613.5169300000002,638.4999999999994,251.93
42,ppo,-1178.9431350000023,0.2,-1738.8505050000047,-619.0357649999999,644.5049999999994,253.76499999999993
